	mcType	ASE01_A01	ASE01_A02	ASE01_A03	ASE01_A04	ASE01_A05	ASE01_A07	ASE01_A08	ASE01_B01	ASE01_B02	ASE01_B04	ASE01_B06	ASE01_B08	ASE01_B11	ASE01_C03	ASE01_C04	ASE01_C05	ASE01_C06	ASE01_C07	ASE01_C08	ASE01_C09	ASE01_C10	ASE01_C11	ASE01_C12	ASE01_C13	ASE01_C15	ASE01_D01	ASE01_D02	ASE01_D03	ASE02_703	ASE02_704	ASE02_705	ASE02_706	ASE02_707	ASE02_708	ASE02_709	ASE02_711	ASE02_712	ASE02_713	ASE02_714	ASE02_715	ASE02_716	ASE02_717	ASE02_718	ASE02_719	ASE02_720	ASE02_721	ASE02_722	ASE02_725	ASE02_726	ASE02_727	ASE02_728	ASE02_729	ASE02_730	ASE02_736	ASE02_738	ASE02_739	ASE02_740	ASE02_741	ASE02_901	ASE02_902	ASE02_903	ASE02_904	ASE02_905	ASE02_906	ASE02_907	ASE02_908	ASE02_909	ASE02_910	ASE02_911	ASE02_912	ASE02_913	ASE03_A03	ASE03_A07	ASE03_A12	ASE03_A15	ASE03_A16	ASE03_A17	ASE03_A18	ASE03_A19	ASE03_A20	ASE03_A21	ASE03_A22	ASE03_A25	ASE03_A26	ASE03_A27	ASE03_A29	ASE03_A30	ASE03_A31	ASE03_A32	ASE03_A34	ASE03_A35	ASE03_A43	ASE03_A44	ASE03_A45	ASE03_E01	ASE03_E08	ASE03_E33	ASE03_E37	ASE03_E38	ASE03_E50	ASE03_E52	ASE03_E53	ASE03_E54	ASE03_E55	ASE05_N01	ASE05_N02	ASE05_N03	ASE05_N04	ASE05_N05	ASE05_N11	ASE05_N12	ASE05_N13	ASE05_N14	ASE05_N15	ASE05_O12	ASE05_O13	ASE05_O14	ASE05_O15	ASE05_P01	ASE05_P02	ASE05_P03	ASE05_P04	ASE05_P05	ASE05_P06	ASE05_P07	ASE05_P10	ASE05_P11	ASE05_P12	ASE05_P13	ASE05_P14	ASE05_P15	ASE05_P16	ASE05_P17	ASE05_S01	ASE05_S02	ASE05_S03	ASE05_S11	ASE05_S12	ASE05_S13	ASE05_T01	ASE05_T02	ASE05_T03	ASE05_T05	ASE05_T06	ASE05_T07	ASE05_T08	ASE05_T11	ASE05_T12	ASE05_T13	ASE05_T14	ASE05_T15	ASE05_T16	ASE05_T17	ASE05_T18	ASE05_T19	ASE07_A02	ASE07_A03	ASE07_A12	ASE07_A13	ASE07_B02	ASE07_B03	ASE07_C01	ASE07_C02	ASE07_C11	ASE07_C12	ASE07_D01	ASE07_D02	ASE07_D11	ASE07_D12	ASE07_E01	ASE07_E02	ASE07_E03	ASE07_E05	ASE07_E06	ASE07_E07	ASE07_E08	ASE07_E11	ASE07_E12	ASE07_E13	ASE07_E14	ASE07_E15	ASE07_E16	ASE07_E17	ASE07_E18	ASE07_E19	ASE07_H01	ASE07_H02	ASE07_H03	ASE07_H04	ASE07_H05	ASE07_H06	ASE07_H07	ASE07_H08	ASE07_H09	ASE07_I03	ASE07_I04	ASE07_I05	ASE07_I06	ASE07_I07	ASE07_I08	ASE07_I09	ASE07_I10	ASE07_I11	ASE07_I12	ASE07_I13	ASE07_I14	ASE07_I15	ASE07_I16	ASE07_I17	ASE07_I18	ASE07_I19	ASE07_I20	ASE07_J01	ASE07_J02	ASE07_J03	ASE07_J04	ASE07_J05	ASE07_J06	ASE07_J07	ASE07_J08	ASE07_J09	ASE07_J10	ASE07_J11	ASE07_J12	ASE07_J13	ASE07_J14	ASE07_J15	ASE07_J16	ASE07_J17	ASE07_J18	ASE07_J19	ASE07_J20	ASE07_K01	ASE07_K02	ASE07_K13	ASE07_K14	ASE07_K15	ASE07_K16	ASE07_K17	ASE07_K18	ASE07_K19	ASE07_K20	ASE08_H01	ASE08_H02	ASE08_H03	ASE08_H04	ASE08_H05	ASE08_H06	ASE08_H07	ASE08_H08	ASE08_H09	ASE08_H10	ASE08_H11	ASE08_H12	ASE08_H14	ASE08_H16	ASE08_H17	ASE08_H18	ASE08_H19	ASE08_H21	ASE08_H22	ASE08_H23	ASE08_H24	ASE08_H25	ASE08_H26	ASE08_H27	ASE08_H28	ASE08_H29	ASE08_H30	ASE08_H31	ASE08_H32	ASE08_H33	ASE08_H34	ASE08_H35	ASE08_H37	ASE08_H39	ASE08_H40	ASE08_H42	ASE08_H51	ASE10_H13	ASE10_H15	ASE10_H20	ASE10_H36	ASE10_H38	ASE10_H40	ASE10_H41	ASE10_H43	ASE10_H44	ASE10_H45	ASE10_H46	ASE10_H47	ASE10_H48	ASE10_H49	ASE10_H50	ASE10_H52
6	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.27	NA	NA	2.35	1.56	NA	NA	NA	NA	NA	NA	NA	NA	2.34	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.54	1.16	NA	2.38	2.29	NA	2.38	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.67	2.88	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.62	5.73	NA	NA	6.32	6.38	5.85	6.12	6.2	6.45	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.29	5.92	NA	NA	NA	5.96	NA	NA	5.12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.79	4.94	5.9	5.36	5.58	5.35	5.2	5.6	4.4	3.47	5.02	5.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
9	9	1.56	1.59	1.59	1.65	1.42	1.59	1.74	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.32	1.73	NA	1.92	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.99	NA	2.32	2.19	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.47	5.49	5.86	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.65	6.63	6.14	6.07	6.05	5.77	5.72	6.83	5.34	6.81	5.01	5.83	6.45	5.13	6.75	7.2	6.32	6.93	6.12	6.13	6.19	5.49	6.28	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
11	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.78	1.74	1.74	NA	NA	NA	1.76	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.72	1.71	1.66	1.88	1.65	1.53	1.79	1.54	1.66	1.86	1.75	1.77	1.75	1.75	1.89	1.71	1.72	NA	NA	NA	NA	NA	NA	NA	1.55	1.99	1.45	1.42	1.45	1.62	1.53	1.85	1.67	1.41	1.58	1.43	1.37	1.49	1.45	1.45	1.39	1.52	1.92	1.42	1.58
12	12	NA	NA	NA	NA	NA	NA	NA	3.64	3.16	NA	NA	3.72	3.42	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.67	3.85	3.41	2.98	3.7	3.82	NA	NA	2.75	2.04	3.01	3.22	2.97	3.4	3.16	3.53	NA	NA	NA	NA	NA	NA	NA	3.54	NA	NA	NA	NA	NA	NA	NA	NA	3.27	3.21	3.25	3.28	3.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.37	NA	NA	NA	NA	NA	NA	2.15	2.25	2.16	NA	2.2	NA	NA	NA	2.11	2.27	2.17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.39	2.18	1.86	2.1	1.97	2.3	2.1	2.14	NA	NA	2.2	1.53	1.22	NA	1.48	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.79	1.67	NA	NA	NA	NA	NA	NA	NA	NA	1.37	1.91	NA	NA	2.27	2.27	NA	NA	NA	NA	3.47	1.51	NA	NA	2.24	NA	NA	NA	NA	NA	2.42	1.55	1.96	1.56	1.96	2.07	NA	NA	NA	NA	2.02	2.04	2.11	2.09	2.35	2.27	2.15	2.21	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.06	2.15	1.91	2.07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
13	13	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.44	3.89	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.07	3.38	4.37	4.3	4.8	5.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.33	4.67	4.97	NA	NA	5.18	5.11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.42	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.31	4.43	4.73	3.62	4.62	4.05	4.04	4.51	4.1	3.93	NA	3.99	4.17	3.93	3.76	4.54	4.05	NA	NA	NA	4.17	NA	3.54	4.08	4.31	NA	NA	NA	3.74	2.61	4.76	3.36	2.22	2.91	4.69	3.75	3.46	4.31	2.93	2.75	2.35	1.71	3.39	2.77	NA	NA	NA	2.89	2.85	2.79	NA	3.17	3.12	3.29	3.47	2.58	2.13	2.83	2.98	3.03	2.85	2.99	2.86	2.93	2.4	3.12	3.02	3.56	2.94	3.37	NA	NA	NA	NA	NA	NA	NA	NA	3.56	2.78	NA	NA	NA	2.64	NA	NA	NA	NA	NA	2.82	1.96	2.74	2.69	2.33	NA	1.37	2.84	2.44	NA	NA	2.41	2.53	3.06	2.73	NA	3.29	3.63	2.77	NA	NA	2.68	3.1	NA	NA	2.36	2.61	2.71	3.07	NA	NA	2.95	2.53	NA	3.01	3.26	2.76	2.58	2.68	NA	NA	NA	NA	NA	NA	2.93	2.18	2.28	2.16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.3	2.5	2.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
